name,description
Infection,Post-procedure infection
Bleeding,Excessive bleeding or hemorrhage
Adverse reaction,Adverse reaction to medication or treatment
Delayed healing,Slower than expected healing process
Wound dehiscence,Wound reopening after closure
Anesthesia complication,Complication related to anesthesia
Allergic reaction,Allergic response to treatment
Organ dysfunction,Impaired organ function
Thrombosis,Blood clot formation
Embolism,Blockage of blood vessel
Pneumonia,Infection of the lungs
Urinary tract infection,Infection of urinary system
Surgical site infection,Infection at surgical site
Deep vein thrombosis,Blood clot in deep veins
Pulmonary embolism,Blood clot in lungs
Cardiac arrhythmia,Abnormal heart rhythm
Hypotension,Low blood pressure
Hypertension,High blood pressure
Respiratory distress,Difficulty breathing
Renal failure,Kidney function impairment
Liver dysfunction,Impaired liver function
Neurological deficit,Nerve or brain function impairment
Sepsis,Severe infection response
Shock,Life-threatening circulatory failure
Multi-organ failure,Multiple organ system failure
