name,description,category
Echocardiogram,Ultrasound imaging of the heart to assess structure and function,Diagnostic
CT Scan,Computed tomography imaging for detailed cross-sectional views,Diagnostic
MRI,Magnetic resonance imaging for detailed soft tissue visualization,Diagnostic
Blood Test,Laboratory analysis of blood samples,Diagnostic
Biopsy,Removal of tissue sample for microscopic examination,Diagnostic
Surgery,Operative procedure to treat or investigate a condition,Surgical
Medication Adjustment,Modification of medication dosage or type,Therapeutic
Physical Therapy,Rehabilitation through physical exercises and movements,Therapeutic
Consultation,Medical evaluation and advice from a specialist,Evaluation and Management
X-Ray,Radiographic imaging using X-rays,Diagnostic
Ultrasound,Imaging using sound waves,Diagnostic
Endoscopy,Visual examination of internal structures using a flexible tube,Diagnostic
Colonoscopy,Endoscopic examination of the colon,Diagnostic
Mammography,X-ray imaging of the breast for cancer screening,Diagnostic
Angiography,Imaging of blood vessels using contrast material,Diagnostic
Cardiac Catheterization,Invasive procedure to examine heart function and blood flow,Diagnostic
Electrocardiogram,Recording of electrical activity of the heart,Diagnostic
Stress Test,Cardiac function test during exercise,Diagnostic
Holter Monitor,Continuous heart rhythm monitoring over 24-48 hours,Diagnostic
Pulmonary Function Test,Assessment of lung function and capacity,Diagnostic
Spirometry,Measurement of lung volumes and airflow,Diagnostic
Bronchoscopy,Endoscopic examination of the airways,Diagnostic
Thoracentesis,Removal of fluid from the pleural space,Diagnostic
Lumbar Puncture,Removal of cerebrospinal fluid from the spinal canal,Diagnostic
Bone Marrow Biopsy,Removal of bone marrow sample for examination,Diagnostic
Liver Biopsy,Removal of liver tissue sample for examination,Diagnostic
Kidney Biopsy,Removal of kidney tissue sample for examination,Diagnostic
Skin Biopsy,Removal of skin tissue sample for examination,Diagnostic
Lymph Node Biopsy,Removal of lymph node tissue for examination,Diagnostic
Chemotherapy,Use of drugs to treat cancer,Therapeutic
Radiation Therapy,Use of high-energy radiation to treat cancer,Therapeutic
Immunotherapy,Treatment that uses the immune system to fight disease,Therapeutic
Dialysis,Artificial filtering of blood for kidney failure,Therapeutic
Plasmapheresis,Removal and replacement of blood plasma,Therapeutic
Blood Transfusion,Transfer of blood or blood products,Therapeutic
IV Therapy,Administration of fluids or medications intravenously,Therapeutic
Wound Care,Management and treatment of wounds,Therapeutic
Dressing Change,Replacement of wound dressings,Therapeutic
