specialty_name,procedure_names
Cardiology,"Echocardiogram,ECG,Cardiac Catheterization,Stress Test,Holter Monitor,Angiography,Cardiac Monitoring"
Oncology,"Chemotherapy,Radiation Therapy,Biopsy,CT Scan,MRI,PET Scan,Blood Test,Tumor Marker Test"
Neurology,"MRI,CT Scan,EEG,EMG,Lumbar Puncture,Neurological Exam,Brain Imaging"
Emergency Medicine,"X-Ray,CT Scan,Blood Test,ECG,Emergency Resuscitation,Trauma Care,IV Therapy"
Internal Medicine,"Blood Test,Physical Examination,X-Ray,CT Scan,Medication Adjustment,Consultation"
Surgery,"Surgery,Laparoscopy,Arthroscopy,Endoscopic Surgery,Robotic Surgery,Pre-operative Assessment"
Pediatrics,"Physical Examination,Vaccination,Growth Assessment,Developmental Screening,Blood Test"
Psychiatry,"Psychiatric Evaluation,Mental Health Assessment,Medication Adjustment,Therapy Session,Consultation"
Endocrinology,"Blood Test,Hormone Testing,Glucose Monitoring,Thyroid Function Test,Medication Adjustment"
Gastroenterology,"Endoscopy,Colonoscopy,Upper GI Series,Liver Function Test,Biopsy"
Pulmonology,"Pulmonary Function Test,Spirometry,Bronchoscopy,Chest X-Ray,CT Scan"
Rheumatology,"Blood Test,Joint Aspiration,X-Ray,MRI,Physical Examination"
Dermatology,"Skin Biopsy,Dermoscopy,Topical Treatment,Phototherapy,Cryotherapy"
Ophthalmology,"Eye Examination,Retinal Imaging,Cataract Surgery,Glaucoma Treatment,Vision Testing"
Orthopedics,"X-Ray,MRI,Joint Injection,Physical Therapy,Arthroscopy"
Urology,"Cystoscopy,Urine Analysis,Prostate Biopsy,Kidney Imaging,Bladder Function Test"
Gynecology,"Pelvic Examination,Pap Smear,Ultrasound,Hysteroscopy,Mammography"
Anesthesiology,"Anesthesia Administration,Pre-operative Assessment,Post-operative Pain Management,Regional Anesthesia"
Radiology,"X-Ray,CT Scan,MRI,Ultrasound,Nuclear Medicine Imaging"
Pathology,"Tissue Analysis,Blood Analysis,Cytology,Histopathology,Molecular Testing"
