name,description
Chest pain,Pain or discomfort in the chest area
Shortness of breath,Difficulty breathing or breathlessness
Fever,Elevated body temperature
Headache,Pain in the head or upper neck
Nausea,Feeling of sickness with urge to vomit
Fatigue,Extreme tiredness or exhaustion
Dizziness,Feeling of lightheadedness or unsteadiness
Cough,Repetitive throat clearing or coughing
Abdominal pain,Pain in the stomach or belly area
Back pain,Pain in the back region
Joint pain,Pain in joints
Muscle pain,Pain in muscles
Sore throat,Pain or irritation in the throat
Runny nose,Nasal discharge or congestion
Sneezing,Involuntary expulsion of air through nose
Wheezing,High-pitched breathing sound
Rash,Skin irritation or eruption
Swelling,Abnormal enlargement of body part
Numbness,Loss of sensation
Tingling,Prickling or stinging sensation
Weakness,Lack of strength or energy
Confusion,Mental disorientation
Memory loss,Inability to remember
Vision problems,Difficulty seeing clearly
Hearing problems,Difficulty hearing
Balance problems,Difficulty maintaining balance
Sleep problems,Difficulty sleeping
Appetite loss,Loss of desire to eat
Weight loss,Unintended reduction in body weight
Weight gain,Unintended increase in body weight
Constipation,Difficulty passing stools
Diarrhea,Frequent loose or liquid stools
Vomiting,Forceful expulsion of stomach contents
Blood in urine,Presence of blood in urine
Blood in stool,Presence of blood in feces
Difficulty swallowing,Trouble moving food or liquid down throat
Difficulty urinating,Trouble emptying bladder
Frequent urination,Need to urinate more often than normal
Painful urination,Discomfort while urinating
Irregular heartbeat,Abnormal heart rhythm
High blood pressure,Elevated blood pressure readings
Low blood pressure,Reduced blood pressure readings
Rapid heartbeat,Fast heart rate
Slow heartbeat,Slow heart rate
Chest tightness,Feeling of pressure or constriction in chest
Palpitations,Feeling of heart racing or skipping beats
Cold hands or feet,Reduced temperature in extremities
Hot flashes,Sudden feeling of heat
Night sweats,Excessive sweating during sleep
Dry mouth,Lack of saliva production
Dry eyes,Lack of tear production
Blurred vision,Unclear or fuzzy vision
Double vision,Seeing two images instead of one
Eye pain,Discomfort in the eye
Ear pain,Discomfort in the ear
Tooth pain,Discomfort in teeth or gums
Neck pain,Pain in the neck region
Shoulder pain,Pain in the shoulder area
Knee pain,Pain in the knee joint
Ankle pain,Pain in the ankle joint
Foot pain,Pain in the foot
Hand pain,Pain in the hand
Wrist pain,Pain in the wrist joint
Elbow pain,Pain in the elbow joint
Hip pain,Pain in the hip joint
Stiffness,Difficulty moving joints
Limited range of motion,Reduced ability to move body part
Tremor,Involuntary shaking movement
Seizure,Sudden uncontrolled electrical activity in brain
Loss of consciousness,Temporary loss of awareness
Fainting,Brief loss of consciousness
Anxiety,Feeling of worry or unease
Depression,Persistent feeling of sadness
Mood changes,Alterations in emotional state
Irritability,Easily annoyed or angered
Difficulty concentrating,Trouble focusing attention
Difficulty remembering,Trouble recalling information
